"Reference","Quantity","Value","Footprint","Manufacturer","MPN"
"C1 C2 C3 C12 C14 C15 C22 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C37 C38 C45","22","C_100n_0402","C_0402_1005Metric","Murata","GRM155R61H104KE14D"
"C4 C5 C6 C7 C47 C48 C49 C50","8","C_470p_0402","C_0402_1005Metric","Walsin","0402B471K250CT"
"C8 C9 C10 C11 C51 C52 C53 C54","8","C_4u7_0603","C_0603_1608Metric","TDK","C1608X5R1V475M080AC"
"C13 C16 C21 C23 C36 C39 C44 C46","8","C_47p_0402","C_0402_1005Metric","KEMET","C0402C470J5GACTU"
"C17 C18 C19 C20 C40 C41 C42 C43","8","C_10u_0603","C_0603_1608Metric","Murata","GRM188R61A106KE69D"
"FB1 FB7","2","FB_120Z_3A_Murata-BLM18SG_0603","FB_0603_1608Metric","Murata","BLM18SG121TN1D"
"FB2 FB3 FB4 FB5 FB8 FB9 FB10 FB11","8","FB_1kZ_0.8A_WE-CBF_0805","FB_0805_2012Metric","Würth Elektronik","742792096"
"FB6 FB12","2","FB_600Z_0.5A_Murata-BLM18AG_0603","FB_0603_1608Metric","Murata","BLM18AG601SN1D"
"IC1 IC3","2","TLV73325PDBVT","SOT-23-5","Texas Instruments","TLV73325PDBVT"
"IC2 IC4","2","TLV73312PDBVT","SOT-23-5","Texas Instruments","TLV73312PDBVT"
"J2 J4","2","HDMI-A_Molex_471511001","HDMI-A_Receptacle_Molex_471511001","Molex","471511001"
"J6","1","Conn_FFC_WE_68715014022","Conn_FFC_WE_68715014x22","Würth Elektronik","68715014022"
"N1","1","antmicro_logo","antmicro-logo_scaled_20mm_mask","",""
"N2","1","oshw_logo","OSHW-Logo_7.5x8mm_Mask","",""
"R1 R2 R5 R6 R7 R8 R14 R15 R18 R19 R20 R21","12","R_0R_0603","R_0603_1608Metric","Bourns","CR0603-J/-000ELF"
"R3 R9 R10 R11 R12 R16 R22 R23 R24 R25","10","R_10k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1002GLF"
"R4 R17","2","R_2k_0402","R_0402_1005Metric","Bourns","CR0402-FX-2001GLF"
"R13 R26","2","R_22R_0402","R_0402_1005Metric","Bourns","CR0402-FX-22R0GLF"
"SP1 SP2 SP3 SP4","4","Spacer_Drill3.7mm_H6mm_9774060151R","Spacer_Drill3.7mm_H6mm_9774060151R","Würth Elektronik","9774060151R"
"U1 U4","2","TC358742XBG","BGA-64_8x8_6.0x6.0mm","Toshiba","TC358742XBG"
"U2 U5","2","TPD8S009DSMR","R-PDSO-N15","Texas Instruments","TPD8S009DSMR"
"U3 U6","2","PCA9517ATP","SOT1069-2","NXP","PCA9517ATP"
"Y1 Y2","2","Oscillator_27MHz_TXC_7C","Oscillator_SMD_TXC_7C_5x3.2x1.2mm","TXC","7C-27.000MBB-T"
